id,hypers,roc,acc
37,"Namespace(experiment_id='37', head_linear=645, head_ps=0.5298940755041771, lr=0.0007807862317159986, lr_mult=4, mask_prob=0.21373476318619136, max_masked=57, max_tgt_length=98, stem_ps=0.11353659377790881, train_epochs=12, vis_mask_prob=0.10154157766174808)",0.7288443473635366,0.6865384578704834
38,"Namespace(experiment_id='38', head_linear=577, head_ps=0.2679017089800224, lr=0.004642185865151579, lr_mult=39, mask_prob=0.2536380520998289, max_masked=26, max_tgt_length=83, stem_ps=0.16420990217296477, train_epochs=8, vis_mask_prob=0.008602036776323551)",0.6483696820851773,0.6211538314819336
39,"Namespace(experiment_id='39', head_linear=402, head_ps=0.2501962346322419, lr=0.0036558973925025213, lr_mult=25, mask_prob=0.23816754631129694, max_masked=59, max_tgt_length=86, stem_ps=0.06762571717443266, train_epochs=11, vis_mask_prob=0.016424008580905734)",0.6982449985098332,0.6480769515037537
40,"Namespace(experiment_id='40', head_linear=486, head_ps=0.6767277228348534, lr=0.00044484479708586044, lr_mult=22, mask_prob=0.0794496519936014, max_masked=8, max_tgt_length=83, stem_ps=0.21513084582071137, train_epochs=8, vis_mask_prob=0.21874345873551915)",0.737549562192771,0.6971153616905212
41,"Namespace(experiment_id='41', head_linear=967, head_ps=0.36896064732017175, lr=0.001847674130248689, lr_mult=26, mask_prob=0.16609671384892893, max_masked=16, max_tgt_length=95, stem_ps=0.1311185532574521, train_epochs=8, vis_mask_prob=0.23785907541411744)",0.7360065793693009,0.6721153855323792
42,"Namespace(experiment_id='42', head_linear=953, head_ps=0.7285869244192567, lr=0.0004877642240079719, lr_mult=55, mask_prob=0.0037042268681037214, max_masked=22, max_tgt_length=53, stem_ps=0.21849727035360875, train_epochs=8, vis_mask_prob=0.06534356390815423)",0.7371534419080171,0.6769230961799622
43,"Namespace(experiment_id='43', head_linear=808, head_ps=0.18120784901160666, lr=0.0016082016570110422, lr_mult=69, mask_prob=0.2377607898751659, max_masked=29, max_tgt_length=73, stem_ps=0.03185706023718441, train_epochs=8, vis_mask_prob=0.06918327266310279)",0.7240022484541877,0.6798076629638672
46,"Namespace(experiment_id='46', head_linear=973, head_ps=0.019903152912153655, lr=0.0007770577755526085, lr_mult=69, mask_prob=0.2538409550301995, max_masked=27, max_tgt_length=71, stem_ps=0.1837201094619627, train_epochs=8, vis_mask_prob=0.13784148457081527)",0.7434196875554097,0.6701923012733461
47,"Namespace(experiment_id='47', head_linear=609, head_ps=0.5234624519779926, lr=0.0002431197523266101, lr_mult=33, mask_prob=0.22992319197177064, max_masked=15, max_tgt_length=66, stem_ps=0.13405638110399398, train_epochs=8, vis_mask_prob=0.002053773258539959)",0.7281973508984385,0.6557692289352417
48,"Namespace(experiment_id='48', head_linear=872, head_ps=0.3089795038946232, lr=0.000288735778090776, lr_mult=58, mask_prob=0.05855441217477981, max_masked=10, max_tgt_length=77, stem_ps=0.0021701078475604763, train_epochs=8, vis_mask_prob=0.23072597889576443)",0.7027173851534116,0.6519230604171753
